timestamp,src_ip,dst_ip,protocol,length
1753545996.884827,192.168.1.1,192.168.1.4,ARP,42
1753545996.884874,192.168.1.4,192.168.1.1,ARP,42
1753546059.454834,192.168.1.1,192.168.1.4,ARP,42
1753546059.455007,192.168.1.4,192.168.1.1,ARP,42
1753546093.085488,192.168.1.1,192.168.1.4,ARP,42
1753546093.085626,192.168.1.4,192.168.1.1,ARP,42
1753546129.364497,192.168.1.1,192.168.1.4,ARP,42
1753546129.364622,192.168.1.4,192.168.1.1,ARP,42
1753546171.644423,192.168.1.1,192.168.1.4,ARP,42
1753546171.644603,192.168.1.4,192.168.1.1,ARP,42
1753546205.866515,192.168.1.1,192.168.1.4,ARP,42
1753546205.866697,192.168.1.4,192.168.1.1,ARP,42
1753546241.072739,192.168.1.1,192.168.1.4,ARP,42
1753546241.07279,192.168.1.4,192.168.1.1,ARP,42
1753546278.723457,192.168.1.1,192.168.1.4,ARP,42
1753546278.723581,192.168.1.4,192.168.1.1,ARP,42
1753546322.233394,192.168.1.1,192.168.1.4,ARP,42
1753546322.233521,192.168.1.4,192.168.1.1,ARP,42
1753546363.383832,192.168.1.1,192.168.1.4,ARP,42
1753546363.383948,192.168.1.4,192.168.1.1,ARP,42
1753546397.543007,192.168.1.1,192.168.1.4,ARP,42
1753546397.543168,192.168.1.4,192.168.1.1,ARP,42
1753546433.032983,192.168.1.1,192.168.1.4,ARP,42
1753546433.033109,192.168.1.4,192.168.1.1,ARP,42
1753546472.852549,192.168.1.1,192.168.1.4,ARP,42
1753546472.852641,192.168.1.4,192.168.1.1,ARP,42
1753546525.662641,192.168.1.1,192.168.1.4,ARP,42
1753546525.662812,192.168.1.4,192.168.1.1,ARP,42
1753546556.161806,192.168.1.1,192.168.1.4,ARP,42
1753546556.161883,192.168.1.4,192.168.1.1,ARP,42
1753546586.461098,192.168.1.1,192.168.1.4,ARP,42
1753546586.461149,192.168.1.4,192.168.1.1,ARP,42
1753546623.47194,192.168.1.1,192.168.1.4,ARP,42
1753546623.472065,192.168.1.4,192.168.1.1,ARP,42
1753546650.67187,192.168.1.1,192.168.1.4,ARP,42
1753546650.672012,192.168.1.4,192.168.1.1,ARP,42
1753546695.920351,192.168.1.1,192.168.1.4,ARP,42
1753546695.920412,192.168.1.4,192.168.1.1,ARP,42
1753546774.070339,192.168.1.1,192.168.1.4,ARP,42
1753546774.070502,192.168.1.4,192.168.1.1,ARP,42
1753546826.350776,192.168.1.1,192.168.1.4,ARP,42
